user_id,content_id,engagement_value
13,33547,0.0
13,35237,0.0
13,37263,0.0
13,48489,0.0
13,48752,0.0
13,56015,0.0
13,85891,1.0
13,128647,0.0
13,38458,0.0
13,46363,0.0
13,51905,0.0
13,55189,0.0
13,62277,0.0
13,65086,0.0
13,88571,0.0
13,99565,1.0
13,76822,0.0
13,44109,0.0
13,52921,0.0
13,65616,0.0
13,82097,1.0
13,90018,0.0
13,90424,1.0
13,35910,1.0
13,39040,1.0
13,53182,1.0
13,71310,0.0
13,72149,1.0
13,85916,1.0
13,112915,1.0
13,33550,0.0
13,55038,0.0
13,55553,0.0
13,58201,0.0
13,93115,0.0
13,96136,1.0
13,122351,0.0
13,129917,0.0
13,57627,0.0
13,64429,0.0
13,71912,0.0
13,84142,0.0
13,90685,1.0
13,72556,1.0
13,97495,0.0
13,104521,0.0
13,106950,1.0
13,52151,0.0
13,69758,0.0
13,99534,1.0
13,111442,0.0
13,116765,0.0
13,122251,0.0
13,117711,1.0
13,124284,1.0
13,39562,0.0
13,54806,0.0
13,111793,0.0
13,118434,1.0
13,125127,0.0
13,30033,0.0
13,35411,0.0
13,48732,0.0
13,53779,0.0
13,66097,0.0
13,73755,0.0
13,95475,0.0
13,104412,1.0
13,107053,1.0
13,125376,0.0
13,35303,0.0
13,65799,1.0
13,72305,0.0
13,74140,0.0
13,84158,0.0
13,109073,0.0
13,123048,1.0
13,132088,0.0
13,29475,0.0
13,37147,0.0
13,61532,0.0
13,99855,0.0
13,110287,0.0
13,113372,0.0
13,123049,0.0
13,54142,0.0
13,68394,0.0
13,74516,0.0
13,75298,0.0
13,125173,1.0
13,131856,1.0
13,74029,0.0
13,77133,0.0
13,78145,0.0
13,87635,0.0
13,92595,1.0
13,106192,1.0
13,113823,0.0
13,105556,1.0
13,109294,0.0
13,31783,1.0
13,67419,1.0
13,91319,1.0
13,111646,1.0
13,59741,0.0
13,60560,0.0
13,105484,1.0
13,108367,0.0
13,113161,1.0
13,114963,1.0
13,30899,0.0
13,39390,1.0
13,88144,1.0
13,45336,0.0
13,71394,1.0
13,76528,1.0
13,96486,1.0
13,112814,1.0
13,113023,1.0
13,42951,1.0
13,43661,1.0
13,108041,1.0
13,132165,1.0
13,74055,1.0
13,80721,1.0
13,30860,1.0
13,54972,0.0
13,60544,0.0
13,80058,0.0
13,93926,0.0
13,95758,1.0
13,66515,0.0
13,80539,1.0
13,80877,0.0
13,97176,1.0
13,103663,1.0
13,107084,1.0
13,118704,1.0
13,121287,1.0
13,100295,0.0
13,113379,1.0
13,132710,1.0
13,33657,1.0
13,74441,0.0
13,106677,1.0
13,115373,1.0
13,44224,1.0
13,65426,0.0
13,106184,1.0
13,108938,1.0
13,97173,1.0
13,106035,1.0
13,120013,1.0
14,31707,0.0
14,53332,1.0
14,32327,0.0
10,115785,0.0
10,30887,1.0
10,32858,1.0
10,34067,1.0
10,46730,0.0
10,61892,0.0
15,38858,0.0
15,51294,0.0
15,52097,0.0
15,66896,0.0
15,90455,1.0
15,108726,1.0
15,112937,1.0
15,119663,1.0
15,125721,1.0
15,133609,0.0
15,33061,0.0
15,58492,0.0
15,70410,0.0
15,78133,1.0
15,86941,0.0
15,87635,0.0
15,90820,1.0
15,112816,1.0
15,119592,0.0
