"id","user_id","content_id","engagement_type","engagement_value","created_date"
"408","8","103682","Like","1","2022-11-09 13:52:02"
"409","8","107162","Like","1","2022-11-09 13:52:03"
"410","8","107162","MillisecondsEngagedWith","1151","2022-11-09 13:52:03"
"411","8","129333","Like","1","2022-11-09 13:52:04"
"412","8","129333","MillisecondsEngagedWith","1200","2022-11-09 13:52:04"
"413","8","63092","Like","1","2022-11-09 13:52:06"
"414","8","73482","Like","-1","2022-11-09 13:52:07"
"415","8","80877","Like","-1","2022-11-09 13:52:09"
"416","8","92663","Like","-1","2022-11-09 13:52:10"
"417","8","94231","Like","-1","2022-11-09 13:52:12"
"418","8","94231","MillisecondsEngagedWith","1620","2022-11-09 13:52:13"
"419","8","99602","Like","-1","2022-11-09 13:52:14"
"420","8","99602","MillisecondsEngagedWith","1267","2022-11-09 13:52:14"
"421","8","100172","Like","-1","2022-11-09 13:52:16"
"422","8","100172","MillisecondsEngagedWith","2034","2022-11-09 13:52:17"
"423","8","118987","Like","-1","2022-11-09 13:52:19"
"424","8","118987","MillisecondsEngagedWith","1818","2022-11-09 13:52:19"
"425","8","126454","Like","-1","2022-11-09 13:52:21"
"426","8","99602","MillisecondsEngagedWith","1284","2022-11-09 13:52:26"
"427","8","99602","MillisecondsEngagedWith","83266","2022-11-09 13:54:23"
"428","8","126647","Like","-1","2022-11-09 13:54:28"
"429","8","31076","Like","-1","2022-11-09 13:54:30"
"430","8","40842","Like","-1","2022-11-09 13:54:31"
"431","8","41104","Like","-1","2022-11-09 13:54:33"
"432","8","49053","Like","-1","2022-11-09 13:54:34"
"433","8","49593","Like","-1","2022-11-09 13:54:36"
"434","8","58695","Like","-1","2022-11-09 13:54:37"
"435","8","58695","MillisecondsEngagedWith","1219","2022-11-09 13:54:37"
"436","8","63189","Like","-1","2022-11-09 13:54:38"
"437","8","63189","MillisecondsEngagedWith","1553","2022-11-09 13:54:39"
"438","8","80473","Like","-1","2022-11-09 13:54:40"
"439","8","80473","MillisecondsEngagedWith","1100","2022-11-09 13:54:40"
"440","8","91282","Like","-1","2022-11-09 13:54:41"
"441","8","91282","MillisecondsEngagedWith","1317","2022-11-09 13:54:41"
"442","8","102276","MillisecondsEngagedWith","1152","2022-11-09 13:54:43"
"443","8","54724","Like","-1","2022-11-09 13:54:44"
"444","8","54724","MillisecondsEngagedWith","1268","2022-11-09 13:54:44"
"445","8","68073","Like","-1","2022-11-09 13:54:46"
"446","8","85696","Like","-1","2022-11-09 13:54:48"
"447","8","85696","MillisecondsEngagedWith","1417","2022-11-09 13:54:48"
"448","8","86435","Like","-1","2022-11-09 13:54:49"
"449","8","86435","MillisecondsEngagedWith","1386","2022-11-09 13:54:49"
"450","8","86856","Like","-1","2022-11-09 13:54:51"
"451","8","94465","Like","-1","2022-11-09 13:54:52"
"452","8","94465","MillisecondsEngagedWith","1185","2022-11-09 13:54:53"
"453","8","95252","Like","-1","2022-11-09 13:54:54"
"454","8","95252","MillisecondsEngagedWith","1183","2022-11-09 13:54:54"
"455","8","106255","Like","-1","2022-11-09 13:54:55"
"456","8","106255","MillisecondsEngagedWith","1133","2022-11-09 13:54:55"
"457","8","124234","Like","-1","2022-11-09 13:54:57"
"458","8","134502","Like","-1","2022-11-09 13:54:58"
"459","8","51278","Like","-1","2022-11-09 13:55:00"
"460","8","51278","MillisecondsEngagedWith","1182","2022-11-09 13:55:01"
"461","8","63605","Like","-1","2022-11-09 13:55:02"
"462","8","70148","Like","-1","2022-11-09 13:55:03"
"463","8","98449","Like","-1","2022-11-09 13:55:04"
"464","8","106415","Like","-1","2022-11-09 13:55:31"
"465","8","112821","MillisecondsEngagedWith","1150","2022-11-09 13:55:31"
"466","8","112821","Like","-1","2022-11-09 13:55:33"
"467","8","126647","MillisecondsEngagedWith","1733","2022-11-09 13:55:33"
"468","8","132733","MillisecondsEngagedWith","2915","2022-11-09 13:55:37"
"469","8","132733","Like","-1","2022-11-09 13:55:38"
"470","8","133143","Like","-1","2022-11-09 13:55:39"
"471","8","133143","MillisecondsEngagedWith","1167","2022-11-09 13:55:40"
"472","8","36574","Like","-1","2022-11-09 13:55:42"
"473","8","36574","MillisecondsEngagedWith","2083","2022-11-09 13:55:42"
"474","8","51905","Like","-1","2022-11-09 13:55:43"
"475","8","51905","MillisecondsEngagedWith","1133","2022-11-09 13:55:43"
"476","8","58669","Like","-1","2022-11-09 13:55:44"
"477","8","58669","MillisecondsEngagedWith","1267","2022-11-09 13:55:44"
"478","8","63603","Like","-1","2022-11-09 13:55:45"
"479","8","63603","MillisecondsEngagedWith","1083","2022-11-09 13:55:46"
"480","8","64457","Like","-1","2022-11-09 13:55:47"
"481","8","64457","MillisecondsEngagedWith","2800","2022-11-09 13:55:48"
"482","8","70075","MillisecondsEngagedWith","2248","2022-11-09 13:55:51"
"483","8","79517","Like","-1","2022-11-09 13:55:52"
"484","9","58518","MillisecondsEngagedWith","1604","2022-11-09 15:58:56"
"485","9","76099","MillisecondsEngagedWith","1607","2022-11-09 15:58:56"
"486","9","39084","MillisecondsEngagedWith","70151","2022-11-09 16:00:05"
"487","10","28755","Like","1","2022-11-09 16:46:02"
"488","10","28755","MillisecondsEngagedWith","25000","2022-11-09 16:46:03"
"489","10","29917","Like","-1","2022-11-09 16:46:07"
"490","10","31707","Like","1","2022-11-09 16:46:23"
"491","10","31707","MillisecondsEngagedWith","16716","2022-11-09 16:46:25"
"492","10","65269","Like","1","2022-11-09 16:46:28"
"493","10","65269","MillisecondsEngagedWith","3333","2022-11-09 16:46:28"
"494","10","68664","Like","1","2022-11-09 16:46:31"
"495","10","68664","MillisecondsEngagedWith","3083","2022-11-09 16:46:32"
"496","10","68885","Like","1","2022-11-09 16:46:37"
"497","10","68885","MillisecondsEngagedWith","5898","2022-11-09 16:46:38"
"498","10","103431","Like","1","2022-11-09 16:46:54"
"499","10","103431","MillisecondsEngagedWith","6784","2022-11-09 16:46:55"
"500","10","106462","Like","1","2022-11-09 16:46:58"
"501","10","106462","MillisecondsEngagedWith","2535","2022-11-09 16:46:58"
"502","10","111442","Like","-1","2022-11-09 16:47:02"
"503","10","111442","MillisecondsEngagedWith","3834","2022-11-09 16:47:02"
"504","10","126765","Like","1","2022-11-09 16:47:05"
"505","10","126765","MillisecondsEngagedWith","4133","2022-11-09 16:47:07"
"506","10","29963","Like","1","2022-11-09 16:47:12"
"507","10","29963","MillisecondsEngagedWith","4583","2022-11-09 16:47:14"
"508","10","36807","Like","-1","2022-11-09 16:47:18"
"509","10","36807","MillisecondsEngagedWith","3834","2022-11-09 16:47:18"
"510","10","39404","Like","-1","2022-11-09 16:47:21"
"511","10","39404","MillisecondsEngagedWith","2882","2022-11-09 16:47:22"
"512","10","57127","MillisecondsEngagedWith","5816","2022-11-09 16:47:28"
"513","10","57127","Like","-1","2022-11-09 16:47:30"
"514","10","57127","MillisecondsEngagedWith","1333","2022-11-09 16:47:30"
"515","10","67655","Like","-1","2022-11-09 16:47:32"
"516","10","67655","MillisecondsEngagedWith","2182","2022-11-09 16:47:33"
"517","10","82909","Like","1","2022-11-09 16:47:35"
"518","10","82909","MillisecondsEngagedWith","2033","2022-11-09 16:47:36"
"519","10","86673","Like","-1","2022-11-09 16:47:39"
"520","10","86673","MillisecondsEngagedWith","3516","2022-11-09 16:47:39"
"521","10","93384","Like","1","2022-11-09 16:47:42"
"522","10","93384","MillisecondsEngagedWith","8816","2022-11-09 16:47:49"
"523","10","97182","Like","-1","2022-11-09 16:47:53"
"524","10","97182","MillisecondsEngagedWith","4800","2022-11-09 16:47:55"
"525","10","97182","MillisecondsEngagedWith","41529","2022-11-09 16:48:37"
"526","10","107160","Like","1","2022-11-09 16:48:40"
"527","10","107160","MillisecondsEngagedWith","5131","2022-11-09 16:48:43"
"528","10","29506","Like","1","2022-11-09 16:48:51"
"529","10","29506","MillisecondsEngagedWith","8132","2022-11-09 16:48:52"
"530","10","61532","MillisecondsEngagedWith","3900","2022-11-09 16:48:56"
"531","10","57127","MillisecondsEngagedWith","1267","2022-11-09 16:48:59"
"532","10","28755","MillisecondsEngagedWith","1282","2022-11-09 16:49:01"
"533","10","29917","MillisecondsEngagedWith","3367","2022-11-09 16:49:04"
"534","10","65269","MillisecondsEngagedWith","3899","2022-11-09 16:49:09"
"535","10","68664","MillisecondsEngagedWith","1366","2022-11-09 16:49:10"
"536","10","68885","MillisecondsEngagedWith","1250","2022-11-09 16:49:12"
"537","11","36151","MillisecondsEngagedWith","1805","2022-11-09 16:49:16"
"538","11","55886","MillisecondsEngagedWith","1803","2022-11-09 16:49:16"
"539","11","36150","MillisecondsEngagedWith","1976","2022-11-09 16:49:16"
"540","10","103431","MillisecondsEngagedWith","11282","2022-11-09 16:49:24"
"541","10","126765","MillisecondsEngagedWith","1763","2022-11-09 16:49:29"
"542","10","36807","MillisecondsEngagedWith","1716","2022-11-09 16:49:39"
"543","10","97182","MillisecondsEngagedWith","1566","2022-11-09 16:49:53"
"544","10","61532","MillisecondsEngagedWith","1233","2022-11-09 16:49:57"
"545","10","61532","Like","-1","2022-11-09 16:49:58"
"546","10","62048","Like","-1","2022-11-09 16:50:01"
"547","10","78406","Like","-1","2022-11-09 16:50:04"
"548","10","82566","Like","-1","2022-11-09 16:50:06"
"549","10","83695","Like","1","2022-11-09 16:50:08"
"550","10","105606","Like","1","2022-11-09 16:50:42"
"551","10","105606","MillisecondsEngagedWith","2999","2022-11-09 16:50:42"
"552","10","109461","Like","1","2022-11-09 16:50:45"
"553","10","109461","MillisecondsEngagedWith","14151","2022-11-09 16:50:57"
"554","10","118754","Like","-1","2022-11-09 16:51:00"
"555","10","118754","MillisecondsEngagedWith","2615","2022-11-09 16:51:00"
"556","10","120535","Like","-1","2022-11-09 16:51:06"
"557","10","120535","MillisecondsEngagedWith","6183","2022-11-09 16:51:07"
"558","10","50524","Like","1","2022-11-09 16:51:09"
"559","10","50524","MillisecondsEngagedWith","2800","2022-11-09 16:51:10"
"560","10","65802","Like","-1","2022-11-09 16:51:12"
"561","10","65802","MillisecondsEngagedWith","2400","2022-11-09 16:51:13"
"562","10","74019","Like","1","2022-11-09 16:51:15"
"563","10","74019","MillisecondsEngagedWith","3262","2022-11-09 16:51:17"
"564","10","87269","Like","-1","2022-11-09 16:51:19"
"565","10","87269","MillisecondsEngagedWith","6082","2022-11-09 16:51:23"
"566","10","98478","Like","1","2022-11-09 16:51:26"
"567","10","98478","MillisecondsEngagedWith","2633","2022-11-09 16:51:27"
"568","10","108726","Like","1","2022-11-09 16:51:29"
"569","10","108726","MillisecondsEngagedWith","1732","2022-11-09 16:51:29"
"570","10","110116","MillisecondsEngagedWith","1050","2022-11-09 16:51:31"
"571","10","110116","Like","-1","2022-11-09 16:51:32"
"572","10","122351","Like","-1","2022-11-09 16:51:34"
"573","10","122351","MillisecondsEngagedWith","2333","2022-11-09 16:51:40"
"574","10","126904","Like","1","2022-11-09 16:51:43"
"575","10","126904","MillisecondsEngagedWith","4049","2022-11-09 16:51:45"
"576","10","128734","Like","1","2022-11-09 16:51:48"
